book_id,isbn,title,author_id,author_name,genre,publication_year,price,pages,format,in_stock,publisher
1,978-6-3972-2872-6,An Saga of the Night,1666,Isabella Brown,Biography,2004,4.49,371,Audiobook,False,Simon & Schuster
2,978-1-2146-6152-0,Last Journey Beyond Time,398,Emma White,Fantasy,1997,16.88,353,Hardcover,True,Independent Press
3,978-0-9093-4932-3,Modern Dream Beyond Time,1561,David Garcia,Fiction,1993,24.61,438,Paperback,True,Macmillan
4,978-4-8155-4297-9,Ancient Journey Before Dawn,567,Susan Martinez,Science Fiction,2007,4.57,318,Paperback,True,Hachette
5,978-7-7614-6805-7,The Vision of the Dawn,646,Mary Miller,Science Fiction,2006,9.35,242,Audiobook,True,HarperCollins
6,978-4-6129-1137-1,Secret Memory of Yesterday,532,Thomas Martin,Non-Fiction,2006,6.1,305,Paperback,True,Hachette
7,978-1-6387-6179-3,Broken Saga of the Night,221,Elizabeth Garcia,Self-Help,2000,16.57,457,eBook,True,Simon & Schuster
8,978-6-6013-1084-5,Last Light in the Dark,413,Noah Lewis,Fantasy,2011,46.74,547,Paperback,False,Independent Press
9,978-0-7091-7614-1,First Dream,184,Jessica Jones,Science Fiction,1991,9.89,656,eBook,True,Simon & Schuster
10,978-6-8747-7269-5,Ancient Legend at Sunrise,273,Liam Lewis,Science Fiction,1994,5.08,638,Paperback,True,Penguin Random House
11,978-4-6309-2535-1,Broken Chronicles at Sunrise,631,Richard Robinson,Romance,2001,13.48,239,Paperback,True,HarperCollins
12,978-7-6057-9478-6,Secret Memory,1726,Isabella Jackson,Fiction,2005,20.01,240,Paperback,True,Simon & Schuster
13,978-4-9215-4272-6,Ancient Light,887,Noah Brown,Fantasy,1995,8.64,155,eBook,True,Independent Press
14,978-3-3184-2275-0,A Journey in the Dark,1595,Barbara Martin,Mystery,2007,18.21,198,Audiobook,True,Penguin Random House
15,978-9-1158-7741-3,Secret Mystery at Midnight,1809,Joseph Jackson,Fantasy,1998,9.66,151,Audiobook,True,Macmillan
16,978-6-9934-7728-6,An Quest Beyond Time,672,William Clark,Fiction,2000,10.84,635,Paperback,True,Macmillan
17,978-7-3669-2008-3,Modern Saga Through Time,1756,Emma Harris,Non-Fiction,2005,7.43,764,Hardcover,False,Independent Press
18,978-2-4561-7007-4,An Saga,406,Liam Moore,Non-Fiction,1993,23.76,781,eBook,True,HarperCollins
19,978-2-5701-2859-7,An Mystery in the Light,539,Robert Rodriguez,History,1991,22.86,246,Paperback,True,Macmillan
20,978-1-2658-9766-3,Broken Story of Tomorrow,738,Linda Thomas,Science Fiction,1996,11.12,477,Hardcover,True,Macmillan
21,978-8-3652-7250-0,Broken Legend at Midnight,163,Robert Wilson,Fiction,2001,22.02,617,eBook,True,Hachette
22,978-4-6352-3176-5,Lost Dream Before Dawn,1328,Mia Jackson,Science Fiction,1990,4.14,724,Hardcover,True,Macmillan
23,978-3-7838-2357-4,Last Chronicles,277,Richard Johnson,Mystery,1991,10.67,645,Hardcover,True,HarperCollins
24,978-3-5783-3895-9,The Memory of the Dawn,61,Mary Lewis,Thriller,2014,13.29,429,Hardcover,True,Simon & Schuster
25,978-8-2980-2587-0,Dark Saga in the Dark,562,Mason Martin,Mystery,2014,8.21,550,Hardcover,True,HarperCollins
26,978-1-4879-8053-1,Ancient Vision,1949,Richard Williams,Science Fiction,2023,11.0,790,eBook,True,Macmillan
27,978-7-5117-6103-1,A Quest of Yesterday,1566,David Lewis,Fiction,2012,26.23,727,Paperback,False,Simon & Schuster
28,978-3-6452-9436-0,Broken Story,912,David Thompson,Biography,1996,10.21,415,eBook,True,Hachette
29,978-6-5843-1115-4,The Memory,18,William Lewis,Non-Fiction,2022,11.41,428,Hardcover,True,Independent Press
30,978-2-1954-7453-5,Dark Legend of Yesterday,898,Elizabeth Anderson,Mystery,2018,11.49,330,Paperback,True,Independent Press
31,978-1-3784-7310-7,Silent Journey,1752,Emma Davis,Mystery,2016,27.11,321,Hardcover,False,Simon & Schuster
32,978-7-2238-8476-9,The Chronicles,581,Mary Davis,Fantasy,2003,25.68,686,eBook,True,Simon & Schuster
33,978-0-9874-8242-5,Broken Light Before Dawn,407,Mason Martin,Fantasy,2007,9.99,365,Paperback,True,Penguin Random House
34,978-0-9143-2349-2,Dark Journey,1212,Liam Thompson,Romance,2005,8.26,158,Hardcover,True,Independent Press
35,978-0-8047-5008-3,Hidden Echo Through Time,1484,Sarah Hernandez,Mystery,2018,15.03,563,Audiobook,True,Hachette
36,978-1-1629-5494-5,An Quest of the Night,523,Patricia Harris,Fiction,1996,20.3,305,Hardcover,True,HarperCollins
37,978-3-8017-2872-2,Silent Shadow,985,Elizabeth Miller,Romance,2008,15.01,522,Audiobook,True,Hachette
38,978-0-7212-8497-3,Bright Quest at Midnight,679,Emma Jackson,Thriller,2019,5.78,441,Hardcover,True,HarperCollins
39,978-6-3172-9712-0,Secret Tale in the Dark,1777,John Robinson,Science Fiction,2008,12.63,276,Hardcover,True,Hachette
40,978-9-5038-9466-9,Broken Saga Under Stars,179,Mason Anderson,Mystery,1992,6.72,658,eBook,True,Penguin Random House
41,978-0-9314-2869-3,Silent Memory Beyond Time,1026,Ava Robinson,Romance,1999,8.13,516,Hardcover,True,Penguin Random House
42,978-2-4702-1108-6,Broken Dream,57,Noah Hernandez,Biography,2019,21.66,648,Paperback,True,HarperCollins
43,978-2-7034-7810-8,An Journey,926,Barbara Thompson,Biography,2021,12.22,489,Paperback,True,HarperCollins
44,978-6-9708-5169-2,Broken Journey,1892,Liam Moore,Mystery,1995,7.82,164,Hardcover,False,Independent Press
45,978-5-4405-1674-0,An Quest Under Stars,621,Emma Wilson,Fiction,2001,21.51,489,eBook,True,Simon & Schuster
46,978-5-6626-8224-9,Lost Chronicles of Yesterday,739,Emma Jones,Mystery,2013,19.8,321,Paperback,True,Independent Press
47,978-9-4608-8366-1,Silent Light,1915,David Wilson,Non-Fiction,2011,9.75,484,Paperback,True,Macmillan
48,978-7-5358-5376-2,Bright Vision in the Light,481,Oliver Lewis,Fantasy,1997,19.6,685,Hardcover,True,Macmillan
49,978-7-6280-4376-9,Hidden Quest,499,Oliver White,Fiction,1992,8.19,501,Hardcover,True,Penguin Random House
50,978-8-2161-8181-7,Broken Vision,706,John Thomas,Fantasy,1990,17.45,263,Audiobook,True,Penguin Random House
51,978-7-7139-6353-2,Last Dream,850,David Davis,Self-Help,1990,41.49,323,Hardcover,True,Independent Press
52,978-8-1042-9111-9,Broken Light at Midnight,1456,Elizabeth Lewis,Fantasy,1996,19.32,673,eBook,True,Macmillan
53,978-4-1539-3937-4,Lost Echo of the Dawn,936,Sarah Lopez,Fiction,2004,15.2,365,Paperback,True,Macmillan
54,978-4-3264-2727-7,Broken Tale in the Light,688,Linda Jackson,Romance,1998,14.38,160,Hardcover,True,Hachette
55,978-1-4562-2194-9,Ancient Echo Before Dawn,394,Joseph Wilson,Mystery,1995,9.41,730,Paperback,True,Simon & Schuster
56,978-8-5685-5566-6,Silent Shadow,376,William Clark,Science Fiction,2006,14.42,580,Paperback,True,Penguin Random House
57,978-6-7165-1208-8,Silent Echo Before Dawn,665,Mia Thomas,Romance,1993,30.49,648,Hardcover,True,Penguin Random House
58,978-6-9411-4616-5,Broken Mystery Before Dawn,462,Sophia Clark,Technology,2022,4.94,700,Paperback,True,Macmillan
59,978-1-1410-7624-8,Lost Journey Through Time,1940,Sophia Williams,Romance,2014,4.74,371,Audiobook,True,HarperCollins
60,978-7-5404-4180-4,Bright Mystery,247,Liam Anderson,Romance,2010,5.3,227,Paperback,True,Simon & Schuster
61,978-6-5254-1812-2,Hidden Tale of Yesterday,306,Sarah Thompson,Romance,2013,10.38,378,eBook,True,Simon & Schuster
62,978-6-6427-8865-2,Modern Mystery of Tomorrow,1004,Sophia Lee,Fiction,2005,9.93,219,Hardcover,True,Macmillan
63,978-8-2094-3074-8,Secret Vision of the Dawn,1283,Barbara Anderson,History,1995,4.27,790,Paperback,False,Macmillan
64,978-2-3450-2380-1,Secret Light of Tomorrow,1740,Elizabeth Gonzalez,Romance,2010,10.75,570,Hardcover,True,HarperCollins
65,978-5-2833-9701-8,An Quest of the Dawn,540,Mary Johnson,Mystery,2000,15.08,344,eBook,True,Hachette
66,978-6-8215-6523-6,The Shadow Through Time,601,Sophia Martinez,Fiction,1995,8.01,588,Hardcover,True,Simon & Schuster
67,978-0-6754-9887-1,Broken Legend,1091,Elizabeth Lee,Science Fiction,2006,8.55,262,Paperback,True,Independent Press
68,978-5-4841-5856-2,A Journey Beyond Time,1981,James Thomas,Mystery,2001,4.42,302,Hardcover,True,Penguin Random House
