review_id,book_id,customer_id,rating,review_title,review_date,verified_purchase,helpful_votes,total_votes
1,3439,7799,5,Highly recommended,2024-04-06,True,12,15
2,1388,13057,5,Best book I've read this year,2024-04-03,True,15,23
3,622,4972,2,Not impressed,2025-05-22,True,3,4
4,8684,137,1,Disappointing,2024-07-12,True,6,6
5,1314,2447,4,Amazing story,2024-04-21,True,12,16
6,5525,8114,3,Average read,2024-01-31,True,2,8
7,3729,1917,4,Couldn't put it down!,2024-06-26,True,4,13
8,3368,8362,5,Couldn't put it down!,2024-11-01,True,9,18
9,974,11121,4,Excellent read!,2025-02-21,True,15,22
10,5198,17345,3,Decent book,2024-06-11,True,3,11
11,8794,768,3,It was okay,2025-05-15,False,7,15
12,7182,11079,4,Amazing story,2025-09-06,True,8,17
13,489,8086,4,Highly recommended,2024-08-24,True,17,21
14,6516,9345,5,Amazing story,2025-02-28,True,7,7
15,9412,2593,5,Best book I've read this year,2024-06-11,True,11,20
16,6666,12910,5,A masterpiece,2025-02-26,True,10,15
17,2067,9713,4,Excellent read!,2024-11-12,False,11,19
18,2466,17579,3,Decent book,2025-07-02,True,8,15
19,1071,14581,5,Amazing story,2024-11-05,True,9,10
20,5573,3441,5,Amazing story,2025-09-08,True,7,9
21,4110,18889,5,Couldn't put it down!,2023-12-21,True,5,6
22,9074,8676,5,Excellent read!,2025-08-28,True,11,14
23,9623,14393,4,Best book I've read this year,2025-09-28,True,11,16
24,1383,3331,4,Excellent read!,2025-04-08,True,4,13
25,3423,15522,3,Pretty good,2024-08-12,False,6,8
26,7193,3900,3,Pretty good,2025-07-25,False,1,2
27,7955,5149,5,Amazing story,2024-03-30,True,4,13
28,2835,154,3,It was okay,2023-11-15,True,8,11
29,7492,14689,5,Amazing story,2025-03-06,True,7,9
30,2450,12526,4,A masterpiece,2024-12-28,True,7,11
31,6144,6487,3,Worth reading,2023-12-23,True,3,10
32,1620,6401,2,Disappointing,2024-04-29,True,6,11
33,4273,16417,2,Overrated,2023-12-20,True,3,3
34,1082,7021,5,Highly recommended,2024-06-10,True,9,14
35,6448,14546,2,Not impressed,2024-02-24,True,6,7
36,3663,1427,3,Average read,2023-10-29,True,4,10
37,8007,14736,4,Couldn't put it down!,2024-10-18,True,12,13
38,8593,17040,5,Amazing story,2025-06-12,True,11,11
39,1565,10171,4,Excellent read!,2025-10-17,True,2,8
40,1452,10920,4,Amazing story,2025-02-15,True,9,15
41,4268,11255,4,Couldn't put it down!,2024-04-05,True,11,20
42,8572,19174,4,Couldn't put it down!,2025-04-25,True,8,13
43,7824,14378,4,Couldn't put it down!,2024-07-20,True,6,11
44,7058,17871,3,Decent book,2024-06-03,False,2,7
45,7132,8508,5,Amazing story,2025-03-03,True,15,15
46,5730,16098,2,Not what I expected,2025-08-02,True,7,10
47,6861,18186,4,Highly recommended,2024-01-03,True,10,19
48,5433,12211,5,Amazing story,2025-09-27,True,13,13
49,9247,7771,2,Waste of time,2025-08-22,True,2,6
50,5919,192,2,Not what I expected,2025-08-12,True,1,6
51,1970,17166,3,Worth reading,2024-07-03,True,11,19
52,493,16134,4,A masterpiece,2024-01-08,False,7,11
53,9945,17299,5,Highly recommended,2025-03-20,True,13,20
54,2869,12577,5,Amazing story,2024-02-20,False,13,22
55,9079,12669,5,Amazing story,2025-10-14,True,8,12
56,7873,11532,5,Highly recommended,2024-07-02,True,9,13
57,6898,16905,3,Not bad,2024-05-15,True,4,12
58,2257,6661,4,Best book I've read this year,2024-07-07,False,8,10
59,9321,17256,4,A masterpiece,2025-05-01,True,10,14
60,3563,19591,2,Could be better,2025-08-08,True,8,11
61,7957,5520,3,It was okay,2025-04-22,True,4,12
62,4868,16515,3,Pretty good,2025-06-14,True,6,14
63,2669,10854,5,Best book I've read this year,2024-04-20,True,10,15
